id,program,topic,subtopic,difficulty,archetype,question_text,options,correct_answer,reasoning_skills,misconceptions,distractor_rationale,solution,coaching_hints,metadata,visual,blueprint_code,environment,review_status,is_active,visual_required,visual_type,created_at
waterloo_gauss_angle_deduction_fundamentals_part_a_202606011726281118,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"Point D lies on the extension of BC beyond C. In triangle ABC, ∠A = 50° and ∠B = 70°. What is the measure of ∠ACD?","{""A"":""40°"",""B"":""50°"",""C"":""60°"",""D"":""120°"",""E"":""130°""}",C,"[""Apply angle sum in triangle"",""Use exterior angle theorem""]","[""Confusing complementary and supplementary angles"",""forgetting triangle angle sum""]","{""A"":""Subtracted ∠A from 90° instead of calculating the missing angle in the triangle"",""B"":""Selected ∠A as the exterior angle without calculation"",""C"":null,""D"":""Added ∠A and ∠B but mistakenly assumed this sum was supplementary to the exterior angle"",""E"":""Calculated the exterior angle as 180° - ∠A instead of using the triangle's third angle""}","{""steps"":[""Calculate ∠C in triangle ABC: 180° - 50° - 70° = 60°"",""Use the exterior angle theorem: ∠ACD = ∠A + ∠B = 50° + 70° = 120°""],""key_insight"":""The exterior angle at C is equal to the sum of the two non-adjacent interior angles.""}","[""What is the sum of angles in a triangle?"",""How do you calculate an exterior angle?"",""Are points C and D on a straight line?""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:26:08.287112Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_a"":50,""angle_b"":70,""angle_c"":60,""diagram_type"":""triangle_exterior"",""target_angle"":""ACD"",""exterior_angle"":120},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 17:26:08.14267+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606011727248797,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"∠ABC is a right angle. Ray BD divides ∠ABC into ∠ABD and ∠DBC. If ∠ABD = 35°, what is the measure of ∠DBC?","{""A"":""35°"",""B"":""55°"",""C"":""125°"",""D"":""145°"",""E"":""180°""}",B,"[""angle_properties"",""complementary_angles""]","[""Confusing complementary and supplementary angles""]","{""A"":""Confusing the given angle with the answer"",""B"":null,""C"":""Incorrectly adding 35° to 90° and subtracting a different angle"",""D"":""Subtracting ∠ABD from 180° instead of 90° (supplementary confusion)"",""E"":""Assuming the entire angle is 180° instead of a right angle""}","{""steps"":[""∠ABC = 90° because it is a right angle."",""∠DBC = 90° - ∠ABD = 90° - 35° = 55°.""],""key_insight"":""Complementary angles in a right angle sum to 90°""}","[""Are these angles part of a right angle or a straight line?"",""What is the total measure of angles around point B?"",""Use the definition of complementary angles""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:26:30.553846Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":55,""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 17:26:28.351928+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606011727443727,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, ∠ABC is a right angle. A ray BD divides ∠ABC such that ∠ABD = 35°. What is the measure of ∠DBC?","{""A"":""35°"",""B"":""55°"",""C"":""90°"",""D"":""145°"",""E"":""180°""}",B,"[""angle_addition"",""complementary_angles""]","[""Confusing complementary and supplementary angles""]","{""A"":""Repeats the given angle instead of calculating its complement"",""B"":null,""C"":""Assumes the right angle itself is the answer"",""D"":""Subtracts from 180° instead of 90° (supplementary confusion)"",""E"":""Treats straight line as relevant instead of right angle""}","{""steps"":[""∠ABC is a right angle (90°)"",""∠ABD + ∠DBC = 90°"",""35° + ∠DBC = 90°"",""∠DBC = 55°""],""key_insight"":""Complementary angles in a right angle sum to 90°""}","[""What is the total measure of a right angle?"",""How do the two smaller angles relate to this total?"",""Is this a straight line or right angle scenario?""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:27:27.236138Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":55,""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 17:27:25.056575+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606011728113256,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"In triangle ABC, ∠A = 60° and ∠B = 70°. What is the measure of ∠ACB?","{""A"":""40°"",""B"":""50°"",""C"":""60°"",""D"":""70°"",""E"":""80°""}",B,"[""Apply triangle angle sum""]","[""forgetting triangle angle sum""]","{""A"":""This result implies the triangle's angles sum to 170°, which is incorrect."",""B"":null,""C"":""This is the same as ∠A, implying all angles are equal in an isosceles triangle without such information provided."",""D"":""This is the same as ∠B, implying all angles are equal in an isosceles triangle without such information provided."",""E"":""This result implies the triangle's angles sum to 200°, which is incorrect.""}","{""steps"":[""In triangle ABC, the sum of angles is 180°."",""∠ACB = 180° - ∠A - ∠B = 180° - 60° - 70° = 50°.""],""key_insight"":""The sum of angles in a triangle is always 180°.""}","[""Recall the triangle angle sum rule: angles in a triangle add up to 180°."",""Subtract the known angles from 180°."",""Double-check the calculation to avoid arithmetic errors.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:27:46.734152Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_a"":60,""angle_b"":70,""angle_c"":50,""diagram_type"":""triangle_angles"",""target_angle"":""C""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 17:27:44.546332+00
waterloo_gauss_angle_deduction_fundamentals_part_a_202606011733258170,waterloo_gauss,geometry_and_measurement,angles,part_a,angle_property_deduction,"∠ABC is a right angle. Ray BD divides ∠ABC into two angles. If ∠ABD is 35°, what is the measure of ∠DBC?","{""A"":""35°"",""B"":""55°"",""C"":""125°"",""D"":""135°"",""E"":""145°""}",B,"[""applying complementary angles"",""angle addition""]","[""Confusing complementary and supplementary angles""]","{""A"":""Assuming BD bisects the right angle without evidence, leading to the same angle measure"",""C"":""Adding the given angle to the right angle (35 + 90) instead of subtracting"",""D"":""Miscalculating by using 360° as a total instead of 90° in this context"",""E"":""Subtracting the given angle from 180° instead of from 90°, confusing complementary and supplementary angles""}","{""steps"":[""∠ABC is a right angle (90°)."",""Ray BD divides ∠ABC into ∠ABD and ∠DBC."",""∠ABD + ∠DBC = 90°"",""35° + ? = 90°"",""Answer is 90° - 35° = 55°""],""key_insight"":""The two angles formed by the ray BD must add to 90° because they compose the right angle at B.""}","[""Check if the angles are part of a right angle or a straight line"",""What is the total of angles that form a right angle?"",""Look for where the ray intersects the angle structure""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:28:13.691139Z"",""blueprint_code"":""angle_deduction_fundamentals""}","{""spec"":{""angle_abd"":35,""angle_dbc"":55,""diagram_type"":""right_angle_with_ray"",""target_angle"":""DBC""},""type"":""geometry_diagram"",""required"":true}",angle_deduction_fundamentals,dev,draft,true,true,geometry_diagram,2026-06-01 17:28:11.507954+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011747514357,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"What is the 20th term in the sequence 3, 8, 13, 18, ...?","{""A"":""90"",""B"":""95"",""C"":""98"",""D"":""100"",""E"":""105""}",C,"[""Use of arithmetic sequence formula"",""Pattern recognition""]","[""Off-by-one indexing"",""Confusing increment with term value""]","{""A"":""Used n=18 instead of n=20 in the formula"",""B"":""Calculated (n-1)×common_difference without adding the first term"",""C"":null,""D"":""Treated the first term as 0 and added 20×common_difference"",""E"":""Used n=21 instead of n=20 in the formula""}","{""steps"":[""Identify first term (a=3) and common difference (d=5)"",""Apply formula: a_20 = 3 + (20-1)×5 = 3 + 95 = 98""],""key_insight"":""The formula for the nth term of an arithmetic sequence must include both the starting value and the total increments added over (n-1) steps""}","[""List the first five terms to confirm the common difference"",""Check if the sequence starts at index 1 or 0"",""Remember the formula a_n = a + (n-1)×d""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:46:46.204095Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 17:46:46.07766+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011748124055,waterloo_gauss,number_sense,patterning_sequences,part_a,periodic_state_prediction,"A sequence starts with 4, and each term increases by 7. What is the 100th term?","{""A"":""679"",""B"":""686"",""C"":""693"",""D"":""697"",""E"":""700""}",D,"[""arithmetic_sequences"",""pattern_recognition"",""indexing""]","[""pure_multiple_trap"",""off_by_one_indexing""]","{""A"":""Calculated 7×97 without adding the starting 4"",""B"":""Calculated 7×98 without adding the starting 4"",""C"":""Calculated 7×99 without adding the starting 4"",""D"":null,""E"":""Calculated 7×100 instead of accounting for the initial term""}","{""steps"":[""First term a = 4"",""Common difference d = 7"",""Term number n = 100"",""Formula: a_n = 4 + (100-1)×7 = 4 + 693 = 697""],""key_insight"":""Apply the arithmetic sequence formula while tracking the initial offset""}","[""List first few terms to identify pattern"",""Verify if starting value is included in multiplication"",""Check if index starts at 1 or 0""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:47:53.819719Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 17:47:51.625783+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011749510394,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"The first term of an arithmetic sequence is 3, and each term increases by 6. What is the 100th term of the sequence?","{""A"":""594"",""B"":""597"",""C"":""600"",""D"":""603"",""E"":""606""}",B,"[""sequence prediction"",""indexing"",""arithmetic operations""]","[""Off-by-one indexing"",""confusing increment with term value"",""starting count at zero incorrectly""]","{""A"":""Starts at zero and calculates 99 × 6 without adding the first term."",""B"":null,""C"":""Treats the number of terms as the number of jumps (100 × 6) instead of using (n - 1) × 6."",""D"":""Adds 6 for each term including the first term (100 × 6 + 3) instead of (n - 1) × 6."",""E"":""Miscalculates the number of jumps as 101 instead of 99, leading to 101 × 6.""}","{""steps"":[""The formula for the nth term is a₁₀₀ = first_term + (100 - 1) × common_difference."",""a₁₀₀ = 3 + 99 × 6 = 3 + 594 = 597.""],""key_insight"":""The 100th term requires adding the common difference (6) 99 times to the first term (3), not 100 times.""}","[""List the first few terms to observe the pattern."",""Verify if the sequence starts at term 1 or term 0."",""Double-check the formula: term number minus 1 gives the number of jumps between terms.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:48:14.769691Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 17:48:12.592258+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011750080327,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"What is the 25th term in the sequence 8, 14, 20, 26, ...?","{""A"":""140"",""B"":""146"",""C"":""152"",""D"":""158"",""E"":""164""}",B,"[""Identify and extend patterns"",""Apply arithmetic sequence rules""]","[""Off-by-one indexing"",""Confusing increment with term value""]","{""A"":""This is the result of calculating 6*23 instead of adding the initial term"",""B"":null,""C"":""This is 6*25, ignoring the initial term offset"",""D"":""This is the result of using a step size of 8"",""E"":""This is 25*6 + 6 instead of 8 + 6*24""}","{""steps"":[""The sequence increases by 6 each time (common difference = 6)"",""Use the formula: a_n = a_1 + (n-1)*d = 8 + (25-1)*6 = 8 + 144 = 152""],""key_insight"":""Identify the common difference and apply the arithmetic sequence formula""}","[""List the first few terms to confirm the pattern"",""Remember to account for the starting term in the formula"",""Try calculating a small term (like the 5th) manually to verify the formula""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:49:53.390102Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 17:49:51.211091+00
waterloo_gauss_arithmetic_progression_membership_part_a_202606011753037520,waterloo_gauss,number_sense,patterning_sequences_series,part_a,periodic_state_prediction,"What is the 100th term in the sequence 4, 11, 18, 25, ...?","{""A"":""686"",""B"":""693"",""C"":""700"",""D"":""707"",""E"":""714""}",C,"[""sequence prediction"",""arithmetic progression"",""pattern recognition""]","[""off-by-one indexing"",""confusing increment with term value""]","{""A"":""This answer incorrectly uses a step size of 7 but starts the count at 0 instead of 4."",""B"":""This answer correctly multiplies 7 by 99 but fails to add the starting term of 4."",""C"":null,""D"":""This answer adds an extra 7 at the end, resulting in an overestimated total."",""E"":""This answer adds 8 instead of 7 as the common difference and then adds 4 for the starting term.""}","{""steps"":[""Identify first term (4) and common difference (7)."",""Use formula a_n = 4 + (100 - 1) × 7 = 4 + 693 = 700.""],""key_insight"":""Apply the arithmetic sequence formula with the correct starting term and common difference.""}","[""List the first few terms to confirm the pattern."",""Remember to subtract 1 from the term position before multiplying by the common difference."",""Check if your answer is a multiple of the common difference or includes the starting term.""]","{""source"":""ai_generated"",""created_at"":""2026-06-01T17:50:10.418978Z"",""blueprint_code"":""arithmetic_progression_membership""}","{""spec"":{},""type"":""none"",""required"":false}",arithmetic_progression_membership,dev,draft,true,false,null,2026-06-01 17:50:08.213825+00